1 	 1.0 	 0.120 	 21
2 	 1.0 	 0.090 	 28
3 	 0.0 	 0.200 	 35
4 	 0.0 	 0.030 	 35
5 	 1.0 	 0.180 	 25
6 	 0.0 	 0.050 	 29
7 	 0.0 	 0.130 	 33
8 	 0.0 	 0.120 	 31
9 	 0.0 	 0.160 	 22
10 	 0.0 	 0.090 	 34
11 	 0.0 	 0.200 	 35
12 	 1.0 	 0.020 	 23
13 	 1.0 	 0.040 	 23
14 	 0.0 	 0.190 	 31
15 	 0.0 	 0.140 	 23
16 	 0.0 	 0.010 	 35
17 	 0.0 	 0.080 	 35
18 	 0.0 	 0.060 	 27
19 	 0.0 	 0.200 	 24
20 	 0.0 	 0.020 	 28
21 	 0.0 	 0.130 	 35
22 	 0.0 	 0.160 	 33
23 	 1.0 	 0.190 	 21
24 	 0.0 	 0.170 	 21
25 	 0.0 	 0.110 	 30
26 	 1.0 	 0.070 	 22
27 	 0.0 	 0.030 	 25
28 	 0.0 	 0.150 	 29
29 	 0.0 	 0.180 	 28
30 	 0.0 	 0.170 	 36
31 	 0.0 	 0.140 	 36
32 	 0.0 	 0.010 	 30
33 	 1.0 	 0.190 	 22
34 	 0.0 	 0.170 	 22
35 	 0.0 	 0.020 	 35
36 	 0.0 	 0.080 	 22
37 	 0.0 	 0.170 	 34
38 	 1.0 	 0.140 	 24
39 	 1.0 	 0.010 	 22
40 	 0.0 	 0.030 	 32
41 	 0.0 	 0.160 	 30
42 	 0.0 	 0.090 	 26
43 	 0.0 	 0.010 	 22
44 	 0.0 	 0.170 	 27
45 	 0.0 	 0.030 	 29
46 	 1.0 	 0.080 	 22
47 	 0.0 	 0.190 	 24
48 	 1.0 	 0.040 	 24
49 	 0.0 	 0.120 	 36
50 	 0.0 	 0.110 	 31
51 	 0.0 	 0.070 	 27
52 	 0.0 	 0.200 	 33
53 	 0.0 	 0.170 	 32
54 	 0.0 	 0.020 	 26
55 	 1.0 	 0.030 	 22
56 	 0.0 	 0.190 	 34
57 	 1.0 	 0.070 	 25
58 	 0.0 	 0.080 	 35
59 	 0.0 	 0.120 	 28
60 	 0.0 	 0.040 	 27
61 	 0.0 	 0.060 	 26
62 	 0.0 	 0.120 	 35
63 	 0.0 	 0.090 	 31
64 	 0.0 	 0.070 	 29
65 	 0.0 	 0.020 	 28
66 	 0.0 	 0.020 	 25
67 	 1.0 	 0.180 	 21
68 	 0.0 	 0.020 	 36
69 	 0.0 	 0.170 	 26
70 	 0.0 	 0.020 	 28
71 	 0.0 	 0.140 	 24
72 	 0.0 	 0.030 	 24
73 	 0.0 	 0.190 	 31
74 	 1.0 	 0.170 	 25
75 	 1.0 	 0.170 	 23
76 	 0.0 	 0.110 	 31
77 	 0.0 	 0.090 	 24
78 	 1.0 	 0.010 	 24
79 	 0.0 	 0.020 	 35
80 	 0.0 	 0.170 	 29
81 	 0.0 	 0.010 	 35
82 	 0.0 	 0.040 	 28
83 	 0.0 	 0.100 	 25
84 	 0.0 	 0.160 	 30
85 	 0.0 	 0.140 	 25
86 	 0.0 	 0.190 	 30
87 	 0.0 	 0.170 	 30
88 	 0.0 	 0.010 	 34
89 	 0.0 	 0.080 	 26
90 	 1.0 	 0.080 	 27
91 	 0.0 	 0.140 	 26
92 	 0.0 	 0.070 	 30
93 	 0.0 	 0.100 	 24
94 	 0.0 	 0.060 	 31
95 	 0.0 	 0.170 	 36
96 	 0.0 	 0.150 	 26
97 	 0.0 	 0.040 	 34
98 	 0.0 	 0.060 	 36
99 	 0.0 	 0.010 	 30
100 	 0.0 	 0.010 	 35
101 	 1.0 	 0.170 	 24
102 	 0.0 	 0.060 	 30
103 	 0.0 	 0.180 	 27
104 	 0.0 	 0.010 	 32
105 	 0.0 	 0.130 	 28
106 	 0.0 	 0.040 	 27
107 	 0.0 	 0.080 	 32
108 	 0.0 	 0.180 	 25
109 	 0.0 	 0.020 	 32
110 	 1.0 	 0.020 	 22
111 	 0.0 	 0.140 	 25
112 	 0.0 	 0.100 	 36
113 	 0.0 	 0.060 	 34
114 	 0.0 	 0.170 	 34
115 	 0.0 	 0.190 	 30
116 	 0.0 	 0.100 	 32
117 	 0.0 	 0.160 	 34
118 	 0.0 	 0.040 	 33
119 	 0.0 	 0.040 	 30
120 	 0.0 	 0.200 	 29
121 	 0.0 	 0.200 	 32
122 	 0.0 	 0.120 	 28
123 	 0.0 	 0.200 	 35
124 	 0.0 	 0.160 	 30
125 	 0.0 	 0.200 	 33
126 	 0.0 	 0.110 	 28
127 	 1.0 	 0.090 	 23
128 	 0.0 	 0.190 	 32
129 	 0.0 	 0.120 	 29
130 	 0.0 	 0.120 	 26
131 	 0.0 	 0.130 	 22
132 	 1.0 	 0.180 	 24
133 	 0.0 	 0.080 	 29
134 	 0.0 	 0.130 	 23
135 	 0.0 	 0.100 	 31
136 	 1.0 	 0.110 	 24
137 	 0.0 	 0.200 	 27
