150 	 -0.0 	 0.100 	 29
151 	 -0.0 	 0.030 	 33
152 	 -0.0 	 0.190 	 22
153 	 -0.0 	 0.170 	 29
154 	 1.0 	 0.180 	 23
155 	 -0.0 	 0.150 	 35
156 	 -0.0 	 0.010 	 27
157 	 -0.0 	 0.110 	 28
158 	 -0.0 	 0.020 	 24
159 	 -0.0 	 0.090 	 29
160 	 -0.0 	 0.060 	 26
161 	 -0.0 	 0.110 	 24
162 	 1.0 	 0.060 	 25
163 	 -0.0 	 0.110 	 36
164 	 -0.0 	 0.070 	 25
165 	 1.0 	 0.080 	 23
166 	 -0.0 	 0.170 	 27
167 	 -0.0 	 0.100 	 35
168 	 -0.0 	 0.070 	 29
169 	 -0.0 	 0.140 	 31
170 	 -0.0 	 0.080 	 34
171 	 -0.0 	 0.110 	 28
172 	 -0.0 	 0.120 	 24
173 	 -0.0 	 0.200 	 27
174 	 -0.0 	 0.030 	 24
175 	 1.0 	 0.200 	 24
176 	 -0.0 	 0.090 	 35
177 	 -0.0 	 0.010 	 31
178 	 1.0 	 0.100 	 22
179 	 -0.0 	 0.050 	 35
180 	 -0.0 	 0.190 	 36
181 	 -0.0 	 0.110 	 33
182 	 -0.0 	 0.090 	 23
183 	 -0.0 	 0.130 	 26
184 	 -0.0 	 0.080 	 26
185 	 -0.0 	 0.100 	 25
186 	 -0.0 	 0.180 	 21
187 	 -0.0 	 0.010 	 29
188 	 -0.0 	 0.190 	 35
189 	 -0.0 	 0.160 	 35
190 	 -0.0 	 0.200 	 26
191 	 -0.0 	 0.020 	 31
192 	 -0.0 	 0.070 	 30
193 	 -0.0 	 0.120 	 36
194 	 -0.0 	 0.180 	 34
195 	 -0.0 	 0.060 	 33
196 	 -0.0 	 0.040 	 28
197 	 -0.0 	 0.080 	 23
198 	 -0.0 	 0.200 	 29
199 	 -0.0 	 0.160 	 33
200 	 -0.0 	 0.080 	 35
201 	 -0.0 	 0.170 	 12
202 	 -0.0 	 0.170 	 30
203 	 1.0 	 0.120 	 10
204 	 1.0 	 0.080 	 14
205 	 -0.0 	 0.010 	 16
206 	 -0.0 	 0.120 	 34
207 	 -0.0 	 0.040 	 15
208 	 -0.0 	 0.140 	 11
209 	 -0.0 	 0.060 	 28
210 	 -0.0 	 0.130 	 31
211 	 -0.0 	 0.030 	 15
212 	 -0.0 	 0.140 	 18
213 	 -0.0 	 0.150 	 30
214 	 -0.0 	 0.160 	 19
215 	 -0.0 	 0.200 	 26
216 	 -0.0 	 0.070 	 27
217 	 -0.0 	 0.060 	 33
218 	 -0.0 	 0.020 	 23
219 	 1.0 	 0.190 	 9
220 	 -0.0 	 0.040 	 23
221 	 -0.0 	 0.120 	 16
222 	 1.0 	 0.070 	 11
223 	 1.0 	 0.170 	 10
224 	 -0.0 	 0.070 	 33
225 	 -0.0 	 0.050 	 36
226 	 -0.0 	 0.200 	 30
227 	 -0.0 	 0.010 	 17
228 	 1.0 	 0.180 	 14
229 	 -0.0 	 0.020 	 28
230 	 -0.0 	 0.130 	 21
231 	 -0.0 	 0.070 	 33
232 	 -0.0 	 0.120 	 18
233 	 -0.0 	 0.010 	 27
234 	 -0.0 	 0.170 	 34
235 	 -0.0 	 0.160 	 33
236 	 1.0 	 0.170 	 10
237 	 -0.0 	 0.160 	 27
238 	 -0.0 	 0.190 	 35
239 	 -0.0 	 0.170 	 13
240 	 1.0 	 0.090 	 15
241 	 -0.0 	 0.020 	 19
242 	 -0.0 	 0.190 	 30
243 	 -0.0 	 0.030 	 20
244 	 -0.0 	 0.190 	 35
245 	 -0.0 	 0.070 	 16
246 	 1.0 	 0.010 	 12
247 	 -0.0 	 0.080 	 34
248 	 -0.0 	 0.110 	 18
249 	 -0.0 	 0.170 	 11
250 	 -0.0 	 0.060 	 22
251 	 -0.0 	 0.150 	 25
252 	 -0.0 	 0.030 	 22
253 	 -0.0 	 0.170 	 18
254 	 -0.0 	 0.200 	 14
255 	 -0.0 	 0.030 	 24
256 	 -0.0 	 0.090 	 26
257 	 -0.0 	 0.020 	 12
258 	 -0.0 	 0.080 	 21
259 	 -0.0 	 0.140 	 30
260 	 1.0 	 0.150 	 11
261 	 0.0 	 0.030 	 35
262 	 -0.0 	 0.190 	 33
263 	 -0.0 	 0.040 	 27
264 	 1.0 	 0.130 	 11
265 	 -0.0 	 0.100 	 21
266 	 -0.0 	 0.060 	 34
267 	 -0.0 	 0.170 	 24
268 	 1.0 	 0.070 	 10
269 	 -0.0 	 0.170 	 18
270 	 0.0 	 0.030 	 28
271 	 -0.0 	 0.190 	 19
272 	 -0.0 	 0.150 	 31
273 	 -0.0 	 0.080 	 23
274 	 1.0 	 0.180 	 16
275 	 1.0 	 0.050 	 16
276 	 -0.0 	 0.110 	 22
277 	 -0.0 	 0.060 	 28
278 	 -0.0 	 0.170 	 21
279 	 -0.0 	 0.120 	 23
280 	 1.0 	 0.180 	 11
281 	 -0.0 	 0.150 	 13
282 	 1.0 	 0.060 	 11
283 	 -0.0 	 0.160 	 32
284 	 -0.0 	 0.200 	 21
285 	 0.0 	 0.030 	 21
286 	 -0.0 	 0.170 	 22
287 	 -0.0 	 0.040 	 17
288 	 -0.0 	 0.130 	 36
289 	 -0.0 	 0.170 	 30
290 	 1.0 	 0.090 	 9
291 	 -0.0 	 0.100 	 16
292 	 -0.0 	 0.140 	 35
293 	 -0.0 	 0.090 	 18
294 	 -0.0 	 0.070 	 29
295 	 -0.0 	 0.150 	 17
296 	 1.0 	 0.070 	 9
297 	 1.0 	 0.090 	 10
298 	 -0.0 	 0.140 	 21
299 	 -0.0 	 0.050 	 11
300 	 -0.0 	 0.050 	 23
301 	 1.0 	 0.040 	 13
302 	 -0.0 	 0.190 	 26
303 	 -0.0 	 0.150 	 20
304 	 0.0 	 0.030 	 35
305 	 1.0 	 0.050 	 18
306 	 -0.0 	 0.010 	 23
307 	 -0.0 	 0.120 	 35
308 	 -0.0 	 0.130 	 28
309 	 -0.0 	 0.160 	 24
310 	 -0.0 	 0.080 	 27
311 	 -0.0 	 0.130 	 13
312 	 0.0 	 0.100 	 30
313 	 0.0 	 0.040 	 34
314 	 -0.0 	 0.140 	 14
315 	 -0.0 	 0.080 	 28
316 	 -0.0 	 0.200 	 31
317 	 -0.0 	 0.180 	 21
318 	 -0.0 	 0.160 	 15
319 	 -0.0 	 0.070 	 17
320 	 -0.0 	 0.200 	 26
321 	 -0.0 	 0.070 	 24
322 	 -0.0 	 0.180 	 28
323 	 -0.0 	 0.110 	 30
324 	 1.0 	 0.010 	 9
325 	 -0.0 	 0.180 	 31
326 	 -0.0 	 0.050 	 21
327 	 -0.0 	 0.120 	 21
328 	 1.0 	 0.040 	 9
329 	 -0.0 	 0.040 	 34
330 	 -0.0 	 0.080 	 24
331 	 -0.0 	 0.140 	 32
332 	 -0.0 	 0.140 	 24
333 	 1.0 	 0.060 	 9
334 	 -0.0 	 0.130 	 11
335 	 -0.0 	 0.040 	 25
336 	 -0.0 	 0.190 	 32
337 	 1.0 	 0.140 	 11
338 	 -0.0 	 0.190 	 34
339 	 -0.0 	 0.160 	 28
340 	 -0.0 	 0.150 	 32
341 	 -0.0 	 0.160 	 26
342 	 -0.0 	 0.040 	 34
343 	 -0.0 	 0.110 	 25
344 	 -0.0 	 0.110 	 20
345 	 -0.0 	 0.110 	 30
346 	 -0.0 	 0.100 	 27
347 	 -0.0 	 0.170 	 28
348 	 -0.0 	 0.170 	 22
349 	 1.0 	 0.140 	 9
350 	 1.0 	 0.040 	 11
351 	 1.0 	 0.080 	 18
352 	 -0.0 	 0.020 	 30
353 	 -0.0 	 0.130 	 31
354 	 -0.0 	 0.130 	 21
355 	 0.0 	 0.070 	 31
356 	 -0.0 	 0.160 	 16
357 	 -0.0 	 0.090 	 16
358 	 -0.0 	 0.010 	 26
359 	 -0.0 	 0.150 	 30
360 	 1.0 	 0.100 	 11
361 	 -0.0 	 0.070 	 12
362 	 -0.0 	 0.070 	 26
363 	 1.0 	 0.150 	 11
364 	 -0.0 	 0.100 	 35
365 	 -0.0 	 0.060 	 17
366 	 1.0 	 0.040 	 11
367 	 1.0 	 0.020 	 18
368 	 -0.0 	 0.010 	 34
369 	 -0.0 	 0.110 	 18
370 	 -0.0 	 0.020 	 33
371 	 -0.0 	 0.010 	 25
372 	 -0.0 	 0.190 	 36
373 	 -0.0 	 0.120 	 23
374 	 -0.0 	 0.110 	 25
375 	 1.0 	 0.060 	 10
376 	 -0.0 	 0.010 	 32
377 	 -0.0 	 0.150 	 21
378 	 -0.0 	 0.150 	 25
379 	 -0.0 	 0.060 	 34
380 	 -0.0 	 0.070 	 24
381 	 -0.0 	 0.030 	 34
382 	 -0.0 	 0.090 	 29
383 	 0.0 	 0.010 	 33
384 	 -0.0 	 0.030 	 34
385 	 1.0 	 0.150 	 10
386 	 -0.0 	 0.090 	 32
387 	 -0.0 	 0.030 	 21
388 	 -0.0 	 0.020 	 20
389 	 -0.0 	 0.130 	 25
390 	 1.0 	 0.190 	 9
391 	 -0.0 	 0.110 	 21
392 	 -0.0 	 0.130 	 23
393 	 -0.0 	 0.040 	 36
394 	 1.0 	 0.160 	 11
395 	 1.0 	 0.030 	 15
396 	 -0.0 	 0.090 	 30
